alamat_kerja_cat,alamat_tinggal_cat,subsektor,count
3.2542372881355934,2.4237288135593222,Daya Tarik Wisata,1
3.2542372881355934,2.4237288135593222,Desa Wisata,1
3.2542372881355934,2.4237288135593222,FASHION,3
3.2542372881355934,2.4237288135593222,"FASHION, DESAIN PRODUK",1
3.2542372881355934,2.4237288135593222,Hiburan/ Rekreasi,1
3.2542372881355934,2.4237288135593222,KRIYA,2
3.2542372881355934,2.4237288135593222,"KRIYA, DESAIN PRODUK",1
3.2542372881355934,2.4237288135593222,Kuliner,47
3.2542372881355934,2.4237288135593222,Pemandu Wisata,1
3.2542372881355934,2.4237288135593222,SENI PERTUNJUKAN,1
16.6,0.8,Kuliner,5
13.6,18.4,Akomodasi,1
13.6,18.4,KRIYA,1
13.6,18.4,Kuliner,3
22.0,0.0,Kuliner,5
27.0,0.0,Kuliner,5
32.0,2.6,KRIYA,1
32.0,2.6,Kuliner,4
42.0,10.0,Desa Wisata,1
42.0,10.0,KRIYA,2
42.0,10.0,KULINER,1
42.0,10.0,PARIWISATA,1
38.4,23.0,Daya Tarik Wisata,1
38.4,23.0,Desa Wisata,2
38.4,23.0,"KRIYA, DESAIN PRODUK",1
38.4,23.0,KULINER,1
48.0,25.6,Daya Tarik Wisata,1
48.0,25.6,Desa Wisata,1
48.0,25.6,FASHION,1
48.0,25.6,Kriya,2
13.0,41.0,Kuliner,5
13.0,49.8,Kuliner,5
13.0,58.4,Kuliner,5
13.0,64.0,Kuliner,5
37.75,40.0,Akomodasi,1
37.75,40.0,Daya Tarik Wisata,1
37.75,40.0,Desa Wisata,1
37.75,40.0,KULINER,1
51.4,38.0,Desa Wisata,2
51.4,38.0,KULINER,3
56.0,41.0,FASHION,2
56.0,41.0,Kriya,1
57.0,51.333333333333336,Desa Wisata,1
57.0,51.333333333333336,FASHION,1
57.0,51.333333333333336,PARIWISATA,1
56.0,60.0,Desa Wisata,1
56.0,60.0,KRIYA,1
56.0,60.0,Kriya,1
59.0,69.0,Daya Tarik Wisata,1
59.0,69.0,KRIYA,1
59.0,69.0,Restoran / Rumah Makan,1
